iter	Logloss
0	0.6628716895
1	0.6356086009
2	0.6130168481
3	0.5923507686
4	0.5748346814
5	0.5592894801
6	0.5449897077
7	0.5317350569
8	0.5199357063
9	0.5093040592
10	0.4998409951
11	0.4914918467
12	0.4841215292
13	0.4776578589
14	0.4718084043
15	0.4666782433
16	0.4621592834
17	0.4581183256
18	0.4542313293
19	0.4508925015
20	0.4476910591
21	0.4448841947
22	0.4425096471
23	0.4404434251
24	0.4383157417
25	0.4364443359
26	0.4347621275
27	0.433298454
28	0.4319125839
29	0.4306758722
30	0.4294741386
31	0.4283617957
32	0.4273765467
33	0.4265705243
34	0.4256901052
35	0.4248896448
36	0.4241231691
37	0.4235017737
38	0.4229237275
39	0.4224093397
40	0.4219497386
41	0.4214058259
42	0.4209459952
43	0.4206160932
44	0.4202229971
45	0.4199359059
46	0.4195862193
47	0.4192561665
48	0.4189348288
49	0.4186778926
50	0.4183887672
51	0.4181497057
52	0.4179215653
53	0.4177316542
54	0.4175502194
55	0.4174037011
56	0.41720985
57	0.4170331778
58	0.4168765291
59	0.4167102788
60	0.4165872488
61	0.4164405157
62	0.4163091449
63	0.4162052365
64	0.4160454669
65	0.4158984721
66	0.415782344
67	0.4156806785
68	0.4155738735
69	0.4154438746
70	0.4153142697
71	0.4152282612
72	0.4150932139
73	0.4150053198
74	0.4149248281
75	0.4148280898
76	0.4147487659
77	0.4146406835
78	0.4145732129
79	0.4145034524
80	0.4144262898
81	0.4143618962
82	0.4142823824
83	0.4141972216
84	0.414122506
85	0.4140658115
86	0.4140183118
87	0.4139191398
88	0.4138681125
89	0.4138023582
90	0.4137483249
91	0.4136812899
92	0.4136213547
93	0.4135329856
94	0.4134903629
95	0.4134145832
96	0.413356917
97	0.413301702
98	0.4132553506
99	0.4131979512
100	0.4131483335
101	0.4130950712
102	0.4130493408
103	0.4130108136
104	0.41296787
105	0.4129184611
106	0.4128649547
107	0.4127997896
108	0.4127505008
109	0.4127140794
110	0.4126714762
111	0.4126183692
112	0.4125799225
113	0.4125451279
114	0.4125086805
115	0.4124746855
116	0.4124439902
117	0.4123998085
118	0.4123581604
119	0.4123235556
120	0.4122906453
121	0.4122631863
122	0.4122170968
123	0.4122098259
124	0.4121804469
125	0.4121517709
126	0.4121198761
127	0.412082482
128	0.4120524145
129	0.4120280118
130	0.4119948814
131	0.4119638021
132	0.4119447639
133	0.4119129394
134	0.4118766377
135	0.4118728126
136	0.4118345067
137	0.411803169
138	0.4117844489
139	0.4117555831
140	0.4117362269
141	0.4117136352
142	0.4116967769
143	0.4116875056
144	0.4116598857
145	0.4116380086
146	0.4116170643
147	0.4115916139
148	0.4115726227
149	0.4115466525
150	0.411523394
151	0.4114954346
152	0.4114822816
153	0.4114575894
154	0.4114355793
155	0.4114193386
156	0.411403693
157	0.4113794236
158	0.4113630684
159	0.4113413518
160	0.4113278446
161	0.4113112543
162	0.411307747
163	0.4113028962
164	0.4112762545
165	0.4112586668
166	0.4112390846
167	0.4112226124
168	0.4111975
