iter	Passed	Remaining
0	396	395959
1	688	343584
2	1003	333375
3	1336	332828
4	1612	320857
5	1888	312815
6	2156	305941
7	2472	306596
8	2743	302082
9	3057	302665
10	3361	302232
11	3670	302239
12	3971	301528
13	4248	299193
14	4554	299070
15	4861	298984
16	5163	298558
17	5427	296102
18	5736	296173
19	6032	295592
20	6333	295269
21	6635	294963
22	6897	292991
23	7205	293043
24	7505	292719
25	7766	290945
26	8066	290676
27	8367	290457
28	8664	290101
29	8924	288572
30	9244	288958
31	9511	287714
32	9819	287742
33	10088	286639
34	10381	286223
35	10662	285521
36	10962	285310
37	11257	284992
38	11554	284707
39	11856	284559
40	12156	284347
41	12422	283353
42	12725	283219
43	13037	283273
44	13310	282481
45	13608	282226
46	13923	282320
47	14222	282074
48	14496	281351
49	14804	281277
50	15118	281314
51	15424	281194
52	15740	281243
53	16051	281189
54	16314	280317
55	16574	279401
56	16873	279148
57	17189	279188
58	17448	278290
59	17767	278359
60	18066	278106
61	18368	277893
62	18700	278136
63	19003	277930
64	19326	278000
65	19642	277964
66	19946	277757
67	20259	277677
68	20547	277244
69	20857	277100
70	21177	277090
71	21471	276748
72	21779	276575
73	22064	276105
74	22381	276043
75	22699	275980
76	22985	275525
77	23317	275624
78	23612	275280
79	23912	274998
80	24216	274749
81	24505	274338
82	24833	274362
83	25156	274326
84	25476	274248
85	25749	273659
86	26062	273503
87	26357	273154
88	26631	272602
89	26900	271996
90	27201	271717
91	27471	271134
92	27778	270913
93	28062	270471
94	28371	270274
95	28688	270145
96	28982	269802
97	29285	269548
98	29547	268911
99	29882	268942
100	30217	268965
101	30566	269103
102	30863	268782
103	31198	268785
104	31536	268810
105	31837	268513
106	32115	268033
107	32406	267655
108	32708	267366
109	32966	266732
110	33255	266345
111	33523	265792
112	33814	265425
113	34141	265342
114	34462	265214
115	34763	264920
116	35048	264510
117	35402	264618
118	35742	264613
119	36035	264260
120	36311	263783
121	36564	263143
122	36875	262923
123	37042	261684
124	37336	261352
125	37562	260550
126	37842	260132
127	38167	260014
128	38448	259603
129	38761	259406
130	39015	258810
131	39347	258736
132	39645	258442
133	39978	258366
134	40314	258314
135	40448	256969
136	40709	256437
137	40993	256058
138	41271	255646
139	41569	255352
140	41847	254942
141	42139	254615
142	42401	254115
143	42592	253188
144	42884	252870
145	43154	252423
146	43455	252161
147	43732	251759
148	44028	251464
149	44322	251162
150	44575	250624
151	44908	250539
152	45167	250043
153	45461	249742
154	45740	249359
155	46018	248973
156	46280	248501
157	46574	248203
158	46828	247691
159	47146	247519
160	47412	247076
161	47716	246831
162	47878	245856
163	48033	244852
164	48295	244403
165	48580	244073
166	48859	243712
167	49150	243412
168	49391	242866
169	49649	242408
170	49970	242255
